worker,elapsed
4,16.693607
8,16.218654
5,17.979545
7,17.712258
3,17.872773
9,18.465100
6,19.008021
2,18.164800
4,19.117357
8,17.893162
7,17.179696
5,17.790985
3,17.487141
9,16.809063
6,16.852949
2,16.788916
4,16.367769
8,15.615163
7,15.989949
5,16.602145
3,17.087197
9,17.292169
6,17.785156
2,18.179793
4,19.521887
8,19.327247
7,18.872326
5,18.986865
3,19.174538
9,18.632708
6,18.255834
2,16.881093
8,15.393759
4,15.832135
7,15.234695
5,15.241686
3,16.097321
9,16.113469
6,16.565170
2,16.376545
8,17.306304
4,17.271335
7,17.034732
5,16.787771
3,17.178483
9,16.492547
2,15.903497
6,16.683735
8,15.475858
4,16.107827
7,16.403395
5,16.022990
3,16.549970
9,16.213065
2,16.056115
6,16.480223
8,15.665522
4,16.377269
5,16.507617
7,17.202058
3,17.045361
9,16.149301
2,16.786257
6,16.764773
8,16.751817
4,17.102785
5,16.901172
7,16.950693
9,16.993910
3,18.803771
2,17.734907
6,17.970269
8,17.351389
4,17.085772
5,17.535068
7,17.584529
9,15.610343
3,16.352517
2,15.333148
6,15.022804
8,15.320815
4,15.478363
5,16.079419
7,15.646478
9,15.300693
3,15.688423
2,15.325108
6,15.023295
8,14.733454
4,15.987208
7,15.255517
5,15.388774
9,14.935521
3,15.698922
2,14.797223
6,15.235678
8,14.990108
4,15.706581
7,15.273206
5,15.517760
9,14.816610
3,15.092799
2,15.106319
6,15.365900
8,15.995648
4,16.046877
5,16.139347
7,16.866693
9,16.471429
3,17.068105
2,17.254843
6,17.406938
8,17.365692
4,17.518404
5,17.613881
9,16.947305
7,17.644517
3,16.713812
2,15.813337
6,16.839355
8,15.465491
4,15.389926
9,15.596253
5,16.140469
7,16.049763
2,15.027618
3,15.669641
6,16.411078
8,15.588908
4,16.071375
9,15.849209
7,16.075580
5,16.489940
2,16.280117
3,16.637781
6,16.933738
8,16.537112
4,17.335586
9,17.610623
7,17.746426
5,18.286732
3,17.627341
2,18.551905
8,17.419113
6,18.709253
4,16.835725
9,16.887836
7,17.030582
5,16.722208
2,16.157260
3,16.609691
6,15.284103
8,15.986936
4,16.681038
9,16.221580
7,16.590763
5,17.343357
2,17.492418
3,18.253421
6,18.213397
8,18.146207
4,17.794118
9,17.630881
7,16.910136
5,17.192392
2,17.443815
3,17.297550
8,16.556437
6,17.049659
4,17.079576
9,17.519069
7,17.963080
5,17.516817
2,17.473622
3,18.366597
8,17.180098
6,17.261038
4,19.176389
9,18.588301
7,19.061559
5,19.744105
2,19.404354
3,19.895910
8,19.449572
6,20.413782
4,21.495540
9,20.826390
7,20.961651
5,22.140800
2,21.512045
3,21.284271
8,20.574737
6,20.680038
4,21.593956
9,20.410678
7,20.261894
5,20.935131
2,18.720911
8,18.237622
3,19.439382
6,19.060530
9,15.867695
4,16.813026
7,15.356274
2,15.721647
5,16.279494
8,15.271039
3,16.130278
6,16.049387
9,15.473455
7,14.752664
4,16.017501
2,15.908618
5,15.680441
8,15.332795
3,15.620996
6,16.103336
9,17.396727
7,17.689866
4,19.159702
2,19.430030
5,19.532658
8,19.703861
3,20.673971
6,21.478771
9,20.251288
7,19.669039
4,20.913458
5,20.724777
2,21.463596
8,20.953769
3,21.191559
6,20.755854
9,19.837323
7,20.329274
4,20.140585
5,18.443506
8,17.928644
2,18.888031
3,17.921069
6,17.770342
9,16.031175
7,16.008038
4,16.295577
8,14.844379
5,15.909673
2,15.433074
3,15.447343
6,15.447954
9,15.498510
7,15.633328
4,16.113156
8,15.656310
5,16.093975
2,15.666875
3,15.644828
6,15.599094
9,15.617033
7,15.533308
4,15.675835
8,15.799223
5,15.692586
2,15.882848
3,16.095762
6,15.932809
9,15.922743
7,15.688075
4,15.887113
8,15.687017
2,15.543852
5,15.920967
3,16.321733
6,15.174923
9,16.045060
7,15.808966
4,15.938679
8,16.233747
5,15.417275
2,15.963494
3,15.936540
6,15.692071
9,15.459392
7,15.815041
4,16.252137
8,16.052824
5,15.807773
2,16.174231
6,16.218351
3,16.713923
9,15.790160
7,16.049736
4,16.080799
8,15.424159
5,15.786103
2,16.212362
6,15.358240
3,16.119019
9,15.868551
7,15.290191
4,16.100741
8,15.113471
5,15.871061
2,16.276722
6,15.786803
3,15.499267
9,15.366919
7,15.604932
8,15.033821
4,16.057338
5,15.155889
2,15.639765
6,16.005762
3,15.970513
9,14.430636
7,15.310622
8,14.706639
5,15.348622
4,16.165794
2,15.614547
6,15.847587
3,15.876626
9,16.319297
7,15.799220
8,15.181787
5,14.629011
4,15.801767
2,15.796580
